Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.7936,0.009600043
Global_F1,0.79324675,0.010135174
Precision_1,0.7863454,0.034572363
Precision_0,0.8047272,0.020960867
F1_0,0.7896361,0.020405352
Recall_1,0.80979997,0.03820002
Recall_0,0.7774,0.05739999
F1_1,0.7968575,1.3500452E-4

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.37856666666666666,0.3025,0.42378333333333335,0.46316666666666667,0.5226166666666666,0.4685666666666667,0.4951,0.5159666666666667,0.5312833333333333,0.5413,
