Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.33850002,0.0039999783
Global_F1,0.3381961,0.0037887394
Precision_2,0.33074132,0.0025920272
Precision_1,0.35641202,0.0023450255
Precision_0,0.3285755,0.0052877963
Recall_2,0.33128834,0.007668704
F1_0,0.3304793,0.0069045424
Recall_1,0.35051546,0.02356407
Recall_0,0.3333333,0.019431978
F1_1,0.35311377,0.013144344
F1_2,0.3309952,0.0051264763

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.01845,0.012816666666666667,
